京, 北京市, 北京市
沪, 上海市, 上海市
津, 天津市, 天津市
渝, 重庆市, 重庆市
黑, 黑龙江省, 黑龙江省 
吉, 吉林省, 吉林省
辽, 辽宁省, 辽宁省 
冀, 河北省, 河北省
新, 新疆, 新疆
蒙, 内蒙古, 内蒙古
甘, 甘肃省, 甘肃省
青, 青海省, 青海省
陕, 陕西省, 陕西省
宁, 宁夏, 宁夏
豫, 河南省, 河南省
鲁, 山东省, 山东省 
晋, 山西省, 山西省
皖, 安徽省, 安徽省
鄂, 湖北省, 湖北省 
湘, 湖南省, 湖南省
苏, 江苏省, 江苏省 
川, 四川省, 四川省
黔, 贵州省, 贵州省
滇, 云南省, 云南省
桂, 广西省, 广西省
藏, 西藏, 西藏
浙, 浙江省, 浙江省
赣, 江西省, 江西省 
粤, 广东省, 广东省
闽, 福建省, 福建省
台, 台湾省, 台湾省
琼, 海南省, 海南省 
港, 香港, 香港
澳, 澳门, 澳门
冀A, 河北省, 石家庄市 
冀B, 河北省, 唐山市 
冀C, 河北省, 秦皇岛市 
冀D, 河北省, 邯郸市 
冀E, 河北省, 邢台市 
冀F, 河北省, 保定市 
冀G, 河北省, 张家口市 
冀H, 河北省, 承德市 
冀J, 河北省, 沧州市 
冀R, 河北省, 廊坊市 
冀S, 河北省, 沧州行署 
冀T, 河北省, 衡水市 
豫A, 河南省, 郑州市 
豫B, 河南省, 开封市 
豫C, 河南省, 洛阳市 
豫D, 河南省, 平顶山市 
豫E, 河南省, 安阳市 
豫F, 河南省, 鹤壁市 
豫G, 河南省, 新乡市 
豫H, 河南省, 焦作市 
豫J, 河南省, 濮阳市 
豫K, 河南省, 许昌市 
豫L, 河南省, 漯河市 
豫M, 河南省, 三门峡市 
豫N, 河南省, 商丘市 
豫P, 河南省, 周口市 
豫Q, 河南省, 驻马店市 
豫R, 河南省, 南阳市 
豫S, 河南省, 信阳市 
豫U, 河南省, 济源市 
云A, 云南省, 昆明市 
云C, 云南省, 昭通市 
云D, 云南省, 曲靖市 
云E, 云南省, 楚雄彝族自治州 
云F, 云南省, 玉溪市 
云G, 云南省, 红河哈尼族彝族自治州 
云H, 云南省, 文山壮族苗族自治州 
云J, 云南省, 普洱市 
云K, 云南省, 西双版纳傣族自治州 
云L, 云南省, 大理白族自治州 
云M, 云南省, 保山市 
云N, 云南省, 德宏傣族景颇族自治州 
云P, 云南省, 丽江市 
云Q, 云南省, 怒江傈僳族自治州 
云R, 云南省, 迪庆藏族自治州 
云S, 云南省, 临沧市 
辽A, 辽宁省, 沈阳市 
辽B, 辽宁省, 大连市 
辽C, 辽宁省, 鞍山市 
辽D, 辽宁省, 抚顺市 
辽E, 辽宁省, 本溪市 
辽F, 辽宁省, 丹东市 
辽G, 辽宁省, 锦州市 
辽H, 辽宁省, 营口市 
辽J, 辽宁省, 阜新市 
辽K, 辽宁省, 辽阳市 
辽L, 辽宁省, 盘锦市 
辽M, 辽宁省, 铁岭市 
辽N, 辽宁省, 朝阳市 
辽P, 辽宁省, 葫芦岛市 
黑A, 黑龙江省, 哈尔滨市 
黑B, 黑龙江省, 齐齐哈尔市 
黑C, 黑龙江省, 牡丹江市 
黑D, 黑龙江省, 佳木斯市 
黑E, 黑龙江省, 大庆市 
黑F, 黑龙江省, 伊春市 
黑G, 黑龙江省, 鸡西市 
黑H, 黑龙江省, 鹤岗市 
黑J, 黑龙江省, 双鸭山市 
黑K, 黑龙江省, 七台河市 
黑L, 黑龙江省, 哈尔滨市 
黑M, 黑龙江省, 绥化市 
黑N, 黑龙江省, 黑河市 
黑P, 黑龙江省, 大兴安岭地区 
黑R, 黑龙江省, 垦区 
湘A, 湖南省, 长沙市 
湘B, 湖南省, 株洲市 
湘C, 湖南省, 湘潭市 
湘D, 湖南省, 衡阳市 
湘E, 湖南省, 邵阳市 
湘F, 湖南省, 岳阳市 
湘G, 湖南省, 张家界市 
湘H, 湖南省, 益阳市 
湘J, 湖南省, 常德市 
